image,name,author,format,book_depository_stars,price,currency,old_price,isbn,category,img_paths
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5098/9781509858637.jpg,This is Going to Hurt,Adam Kay,Paperback,4.5,7.6,$,11.4,9.78151E+12,Medical,dataset/Medical/0000001.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1410/9780141033570.jpg,"Thinking, Fast and Slow",Daniel Kahneman,Paperback,4,11.5,$,15,9.78014E+12,Medical,dataset/Medical/0000002.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7847/9781784701994.jpg,When Breath Becomes Air,Paul Kalanithi,Paperback,4.5,9.05,$,11.5,9.78178E+12,Medical,dataset/Medical/0000003.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8452/9781845298258.jpg,The Happiness Trap,Russ Harris,Paperback,4,8.34,$,13.9,9.78185E+12,Medical,dataset/Medical/0000004.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8460/9781846041242.jpg,Man's Search For Meaning,Viktor E. Frankl,Paperback,4.5,9.66,$,,9.78185E+12,Medical,dataset/Medical/0000005.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3933/9780393343441.jpg,Boomerang,Michael Lewis,Paperback,4,10.24,$,11.4,9.78039E+12,Humour,dataset/Humour/0000677.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0994/9780099435112.jpg,Marabou Stork Nightmares,Irvine Welsh,Paperback,4,5.3,$,11.4,9.7801E+12,Humour,dataset/Humour/0000678.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4093/9781409303343.jpg,Topsy and Tim: Go to the Doctor,Jean Adamson,Paperback,4,5.46,$,6.2,9.78141E+12,Humour,dataset/Humour/0000679.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0994/9780099493525.jpg,My Horizontal Life,Chelsea Handler,Paperback,4,9.25,$,11.4,9.7801E+12,Humour,dataset/Humour/0000680.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/8575/9780857501691.jpg,Colouring for Grown-ups,Ryan Hunter,Paperback,4,6.52,$,8.8,9.78086E+12,Humour,dataset/Humour/0000681.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/9102/9781910281994.jpg,Cabin Pressure: A-Z,John Finnemore,CD-Audio,5,34.1,$,46.5,9.78191E+12,Humour,dataset/Humour/0000682.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/8828/9780882848266.jpg,"Alfred's Basic Piano Library Recital Book, Bk 2",Morton Manus,Paperback,5,7.29,$,,9.78088E+12,Entertainment,dataset/Entertainment/0000507.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1400/9780140023749.jpg,Puckoon,Spike Milligan,Paperback,4,6.56,$,11.4,9.78014E+12,Entertainment,dataset/Entertainment/0000508.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7624/9780762462315.jpg,Harry Potter Pensieve Memory Set,Running Press,Mixed media product,5,24.5,$,35,9.78076E+12,Entertainment,dataset/Entertainment/0000509.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0600/9780060005771.jpg,The Story of the Trapp Family Singers,Maria Augusta Trapp,Paperback,4,9.42,$,16,9.78006E+12,Entertainment,dataset/Entertainment/0000510.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5593/9781559365604.jpg,Dear Evan Hansen (TCG Edition),Steven Levenson,Paperback,4.5,13.84,$,,9.78156E+12,Entertainment,dataset/Entertainment/0000511.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4088/9781408883792.jpg,Harry Potter and the Philosopher's Stone - Hufflepuff Edition,J. K. Rowling,Paperback,4.5,8.24,$,10.3,9.78141E+12,Poetry-Drama,dataset/Poetry-Drama/0000185.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/4465/9780446574754.jpg,Mythology,Edith Hamilton,Paperback,4,9.49,$,11.4,9.78045E+12,Poetry-Drama,dataset/Poetry-Drama/0000187.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/4153/9780415389556.jpg,Gender Trouble,Judith Butler,Paperback,4,24.65,$,26.3,9.78042E+12,Poetry-Drama,dataset/Poetry-Drama/0000188.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/8578/9780857861832.jpg,The Living Mountain,Nan Shepherd,Paperback,4.5,8.54,$,11.4,9.78086E+12,Poetry-Drama,dataset/Poetry-Drama/0000189.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/8070/9780807068779.jpg,"New And Selected Poems, Volume One",Mary Oliver,Paperback,4.5,13.97,$,19.1,9.78081E+12,Poetry-Drama,dataset/Poetry-Drama/0000190.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/9389/9781938912481.jpg,No Matter the Wreckage,Professor of French Literature Sarah Kay,Paperback,4.5,11.91,$,13,9.78194E+12,Poetry-Drama,dataset/Poetry-Drama/0000191.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0081/9780008139100.jpg,Annihilation,Jeff Vandermeer,Paperback,3.5,7.93,$,10.3,9.78001E+12,Science-Fiction-Fantasy-Horror,dataset/Science-Fiction-Fantasy-Horror/0000348.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4447/9781444723502.jpg,The Dark Tower VII: The Dark Tower,Stephen King,Paperback,4.5,10.41,$,,9.78144E+12,Science-Fiction-Fantasy-Horror,dataset/Science-Fiction-Fantasy-Horror/0000350.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4088/9781408855904.jpg,Harry Potter and the Chamber of Secrets,J. K. Rowling,Hardback,4.5,14.57,$,19.1,9.78141E+12,Science-Fiction-Fantasy-Horror,dataset/Science-Fiction-Fantasy-Horror/0000502.jpg
